"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","不同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投不同意率對縣市首長得票率差距"
"1","第13案","全國","","4,763,086","5,774,556","10,537,642","505,153","11,042,795","19,757,067","55.89%","24.11%","29.23%",-5.12,0.548,NA,NA,NA
"2","第13案","連江縣","","1,176","4,390","5,566","190","5,756","11,205","51.37%","10.5%","39.18%",-28.68,0.7887,NA,NA,NA
"3","第13案","連江縣","南竿鄉","658","2,524","3,182","106","3,288","6,461","50.89%","10.18%","39.07%",-28.89,0.7932,0.6212,2594,0.172
"4","第13案","連江縣","北竿鄉","215","853","1,068","38","1,106","2,125","52.05%","10.12%","40.14%",-30.02,0.7987,0.7738,1139,0.0249
"5","第13案","連江縣","莒光鄉","181","582","763","25","788","1,481","53.21%","12.22%","39.30%",-27.08,0.7628,0.6716,732,0.0912000000000001
"6","第13案","連江縣","東引鄉","122","431","553","21","574","1,138","50.44%","10.72%","37.87%",-27.15,0.7794,0.591,396,0.1884
"7","第13案","金門縣","","9,644","32,014","41,658","2,263","43,921","122,695","35.8%","7.86%","26.09%",-18.23,0.7685,NA,NA,NA
"8","第13案","金門縣","金城鎮","2,880","9,719","12,599","642","13,241","37,815","35.02%","7.62%","25.70%",-18.08,0.7714,0.5428,8137,0.2286
"9","第13案","金門縣","金沙鎮","1,336","4,889","6,225","348","6,573","18,560","35.41%","7.2%","26.34%",-19.14,0.7854,0.3856,2974,0.3998
"10","第13案","金門縣","金湖鎮","2,089","6,851","8,940","575","9,515","25,915","36.72%","8.06%","26.44%",-18.38,0.7663,0.3907,4204,0.3756
"11","第13案","金門縣","金寧鄉","2,506","7,185","9,691","483","10,174","28,162","36.13%","8.9%","25.51%",-16.61,0.7414,0.5492,5989,0.1922
"12","第13案","金門縣","烈嶼鄉","790","3,255","4,045","207","4,252","11,676","36.42%","6.77%","27.88%",-21.11,0.8047,0.4628,2154,0.3419
"13","第13案","金門縣","烏坵鄉","43","115","158","8","166","567","29.28%","7.58%","20.28%",-12.7,0.7278,0.2967,62,0.4311
"14","第13案","宜蘭縣","","102,924","101,242","204,166","11,719","215,885","386,089","55.92%","26.66%","26.22%",0.44,0.4959,NA,NA,NA
"15","第13案","宜蘭縣","宜蘭市","20,491","22,551","43,042","2,110","45,152","79,167","57.03%","25.88%","28.49%",-2.61,0.5239,0.4845,23891,0.0394
"16","第13案","宜蘭縣","羅東鎮","15,860","15,867","31,727","1,586","33,313","57,686","57.75%","27.49%","27.51%",-0.02,0.5001,0.5271,18457,-0.027
"17","第13案","宜蘭縣","蘇澳鎮","9,632","8,737","18,369","1,205","19,574","34,512","56.72%","27.91%","25.32%",2.59,0.4756,0.4944,11341,-0.0187999999999999
"18","第13案","宜蘭縣","頭城鎮","6,302","6,628","12,930","933","13,863","25,135","55.15%","25.07%","26.37%",-1.3,0.5126,0.549,9405,-0.0364
"19","第13案","宜蘭縣","礁溪鄉","8,420","7,666","16,086","880","16,966","31,084","54.58%","27.09%","24.66%",2.43,0.4766,0.4591,9698,0.0175000000000001
"20","第13案","宜蘭縣","壯圍鄉","6,448","5,286","11,734","804","12,538","21,447","58.46%","30.06%","24.65%",5.41,0.4505,0.4566,6978,-0.00609999999999994
"21","第13案","宜蘭縣","員山鄉","7,425","6,801","14,226","1,088","15,314","28,131","54.44%","26.39%","24.18%",2.21,0.4781,0.4278,7844,0.0503
"22","第13案","宜蘭縣","冬山鄉","12,475","11,161","23,636","1,144","24,780","45,405","54.58%","27.47%","24.58%",2.89,0.4722,0.4583,13141,0.0139
"23","第13案","宜蘭縣","五結鄉","9,229","8,750","17,979","944","18,923","34,892","54.23%","26.45%","25.08%",1.37,0.4867,0.4707,10354,0.016
"24","第13案","宜蘭縣","三星鄉","5,141","4,384","9,525","602","10,127","19,051","53.16%","26.99%","23.01%",3.98,0.4603,0.4748,6053,-0.0145
"25","第13案","宜蘭縣","大同鄉","829","1,487","2,316","244","2,560","4,935","51.87%","16.8%","30.13%",-13.33,0.6421,0.8602,3360,-0.2181
"26","第13案","宜蘭縣","南澳鄉","672","1,924","2,596","179","2,775","4,644","59.75%","14.47%","41.43%",-26.96,0.7411,0.8873,3245,-0.1462
"27","第13案","新竹縣","","89,171","151,859","241,030","11,356","252,386","445,051","56.71%","20.04%","34.12%",-14.08,0.63,NA,NA,NA
"28","第13案","新竹縣","竹北市","30,388","46,425","76,813","3,079","79,892","137,129","58.26%","22.16%","33.85%",-11.69,0.6044,0.335,27664,0.2694
"29","第13案","新竹縣","竹東鎮","13,976","26,778","40,754","1,936","42,690","78,794","54.18%","17.74%","33.98%",-16.24,0.6571,0.4205,19629,0.2366
"30","第13案","新竹縣","新埔鎮","5,618","9,947","15,565","787","16,352","28,894","56.59%","19.44%","34.43%",-14.99,0.6391,0.3599,6982,0.2792
"31","第13案","新竹縣","關西鎮","4,766","8,586","13,352","735","14,087","24,712","57%","19.29%","34.74%",-15.45,0.643,0.357,6017,0.286
"32","第13案","新竹縣","湖口鄉","12,177","22,044","34,221","1,607","35,828","63,511","56.41%","19.17%","34.71%",-15.54,0.6442,0.3987,15866,0.2455
"33","第13案","新竹縣","新豐鄉","9,188","15,404","24,592","1,173","25,765","45,790","56.27%","20.07%","33.64%",-13.57,0.6264,0.3397,9826,0.2867
"34","第13案","新竹縣","芎林鄉","3,394","6,271","9,665","538","10,203","17,293","59%","19.63%","36.26%",-16.63,0.6488,0.4007,4876,0.2481
"35","第13案","新竹縣","橫山鄉","2,181","4,120","6,301","427","6,728","11,346","59.3%","19.22%","36.31%",-17.09,0.6539,0.4423,3624,0.2116
"36","第13案","新竹縣","北埔鄉","1,630","2,800","4,430","241","4,671","8,180","57.1%","19.93%","34.23%",-14.3,0.6321,0.4627,2769,0.1694
"37","第13案","新竹縣","寶山鄉","2,789","4,489","7,278","371","7,649","12,973","58.96%","21.5%","34.60%",-13.1,0.6168,0.4593,4172,0.1575
"38","第13案","新竹縣","峨眉鄉","1,108","1,764","2,872","207","3,079","5,068","60.75%","21.86%","34.81%",-12.95,0.6142,0.5352,2218,0.079
"39","第13案","新竹縣","尖石鄉","1,322","2,023","3,345","171","3,516","7,364","47.75%","17.95%","27.47%",-9.52,0.6048,0.5139,2836,0.0909
"40","第13案","新竹縣","五峰鄉","634","1,208","1,842","84","1,926","3,997","48.19%","15.86%","30.22%",-14.36,0.6558,0.4533,1398,0.2025
"41","第13案","苗栗縣","","97,041","152,791","249,832","13,709","263,541","461,580","57.1%","21.02%","33.10%",-12.08,0.6116,NA,NA,NA
"42","第13案","苗栗縣","苗栗市","13,675","27,546","41,221","1,839","43,060","74,249","57.99%","18.42%","37.10%",-18.68,0.6683,0.6127,28376,0.0556
"43","第13案","苗栗縣","苑裡鎮","10,084","11,096","21,180","1,352","22,532","38,890","57.94%","25.93%","28.53%",-2.6,0.5239,0.5492,14322,-0.0253
"44","第13案","苗栗縣","通霄鎮","6,886","8,240","15,126","1,096","16,222","29,709","54.6%","23.18%","27.74%",-4.56,0.5448,0.4322,8970,0.1126
"45","第13案","苗栗縣","竹南鎮","15,174","21,684","36,858","1,759","38,617","68,528","56.35%","22.14%","31.64%",-9.5,0.5883,0.5416,22785,0.0467000000000001
"46","第13案","苗栗縣","頭份市","16,346","29,011","45,357","2,129","47,486","83,617","56.79%","19.55%","34.70%",-15.15,0.6396,0.6189,32143,0.0206999999999999
"47","第13案","苗栗縣","後龍鎮","7,316","8,765","16,081","1,096","17,177","30,948","55.5%","23.64%","28.32%",-4.68,0.5451,0.4467,9556,0.0984
"48","第13案","苗栗縣","卓蘭鎮","3,658","4,765","8,423","383","8,806","14,772","59.61%","24.76%","32.26%",-7.5,0.5657,0.6194,6717,-0.0537
"49","第13案","苗栗縣","大湖鄉","2,284","4,100","6,384","402","6,786","12,653","53.63%","18.05%","32.40%",-14.35,0.6422,0.6184,5382,0.0237999999999999
"50","第13案","苗栗縣","公館鄉","5,861","9,817","15,678","994","16,672","28,318","58.87%","20.7%","34.67%",-13.97,0.6262,0.614,11545,0.0122
"51","第13案","苗栗縣","銅鑼鄉","2,919","5,279","8,198","467","8,665","15,424","56.18%","18.93%","34.23%",-15.3,0.6439,0.5922,6331,0.0517000000000001
"52","第13案","苗栗縣","南庄鄉","1,507","2,539","4,046","305","4,351","8,784","49.53%","17.16%","28.90%",-11.74,0.6275,0.6642,4014,-0.0367000000000001
"53","第13案","苗栗縣","頭屋鄉","2,284","3,557","5,841","288","6,129","9,390","65.27%","24.32%","37.88%",-13.56,0.609,0.6546,4863,-0.0456
"54","第13案","苗栗縣","三義鄉","2,653","5,168","7,821","354","8,175","13,889","58.86%","19.1%","37.21%",-18.11,0.6608,0.5908,5845,0.0700000000000001
"55","第13案","苗栗縣","西湖鄉","1,213","2,121","3,334","218","3,552","6,382","55.66%","19.01%","33.23%",-14.22,0.6362,0.601,2817,0.0352
"56","第13案","苗栗縣","造橋鄉","2,281","3,679","5,960","467","6,427","11,027","58.28%","20.69%","33.36%",-12.67,0.6173,0.6051,4444,0.0122
"57","第13案","苗栗縣","三灣鄉","1,147","2,026","3,173","220","3,393","5,852","57.98%","19.6%","34.62%",-15.02,0.6385,0.6726,2767,-0.0341000000000001
"58","第13案","苗栗縣","獅潭鄉","675","1,240","1,915","138","2,053","3,968","51.74%","17.01%","31.25%",-14.24,0.6475,0.6992,2050,-0.0517000000000001
"59","第13案","苗栗縣","泰安鄉","1,078","2,158","3,236","202","3,438","5,180","66.37%","20.81%","41.66%",-20.85,0.6669,0.6521,2829,0.0148000000000001
"60","第13案","彰化縣","","263,529","320,975","584,504","32,937","617,441","1,066,994","57.87%","24.7%","30.08%",-5.38,0.5491,NA,NA,NA
"61","第13案","彰化縣","彰化市","49,902","60,848","110,750","5,319","116,069","190,995","60.77%","26.13%","31.86%",-5.73,0.5494,0.5312,65874,0.0182
"62","第13案","彰化縣","鹿港鎮","18,762","20,351","39,113","2,215","41,328","70,505","58.62%","26.61%","28.86%",-2.25,0.5203,0.578,27397,-0.0577
"63","第13案","彰化縣","和美鎮","17,982","23,021","41,003","2,066","43,069","75,286","57.21%","23.88%","30.58%",-6.7,0.5614,0.5904,29004,-0.029
"64","第13案","彰化縣","線西鄉","3,468","4,493","7,961","497","8,458","14,065","60.14%","24.66%","31.94%",-7.28,0.5644,0.6682,6615,-0.1038
"65","第13案","彰化縣","伸港鄉","7,149","9,123","16,272","1,026","17,298","30,407","56.89%","23.51%","30.00%",-6.49,0.5607,0.623,12781,-0.0623
"66","第13案","彰化縣","福興鄉","10,101","10,335","20,436","1,342","21,778","39,745","54.79%","25.41%","26.00%",-0.59,0.5057,0.5765,15125,-0.0708
"67","第13案","彰化縣","秀水鄉","8,386","10,036","18,422","965","19,387","32,394","59.85%","25.89%","30.98%",-5.09,0.5448,0.589,13132,-0.0442
"68","第13案","彰化縣","花壇鄉","9,653","12,116","21,769","1,418","23,187","38,924","59.57%","24.8%","31.13%",-6.33,0.5566,0.5534,14443,0.00319999999999998
"69","第13案","彰化縣","芬園鄉","4,761","5,964","10,725","775","11,500","20,408","56.35%","23.33%","29.22%",-5.89,0.5561,0.4737,6594,0.0824000000000001
"70","第13案","彰化縣","員林市","24,024","31,703","55,727","2,545","58,272","102,028","57.11%","23.55%","31.07%",-7.52,0.5689,0.4995,31949,0.0693999999999999
"71","第13案","彰化縣","溪湖鎮","10,763","14,344","25,107","1,310","26,417","45,147","58.51%","23.84%","31.77%",-7.93,0.5713,0.5367,16431,0.0346
"72","第13案","彰化縣","田中鎮","8,539","10,801","19,340","1,180","20,520","35,391","57.98%","24.13%","30.52%",-6.39,0.5585,0.4906,11340,0.0679
"73","第13案","彰化縣","大村鄉","7,869","9,844","17,713","978","18,691","31,492","59.35%","24.99%","31.26%",-6.27,0.5558,0.5073,10826,0.0485
"74","第13案","彰化縣","埔鹽鄉","6,447","9,403","15,850","1,014","16,864","28,026","60.17%","23%","33.55%",-10.55,0.5932,0.6082,12415,-0.015
"75","第13案","彰化縣","埔心鄉","7,892","9,368","17,260","1,150","18,410","29,642","62.11%","26.62%","31.60%",-4.98,0.5428,0.4738,9694,0.069
"76","第13案","彰化縣","永靖鄉","8,051","9,655","17,706","967","18,673","31,239","59.77%","25.77%","30.91%",-5.14,0.5453,0.4677,10057,0.0776
"77","第13案","彰化縣","社頭鄉","9,417","10,689","20,106","1,046","21,152","36,306","58.26%","25.94%","29.44%",-3.5,0.5316,0.4804,11703,0.0512
"78","第13案","彰化縣","二水鄉","3,741","3,952","7,693","480","8,173","13,339","61.27%","28.05%","29.63%",-1.58,0.5137,0.4579,4452,0.0558000000000001
"79","第13案","彰化縣","北斗鎮","6,964","8,461","15,425","870","16,295","27,593","59.05%","25.24%","30.66%",-5.42,0.5485,0.4947,9082,0.0538
"80","第13案","彰化縣","二林鎮","9,219","12,239","21,458","1,387","22,845","42,976","53.16%","21.45%","28.48%",-7.03,0.5704,0.5442,15652,0.0262
"81","第13案","彰化縣","田尾鄉","5,934","7,252","13,186","703","13,889","23,179","59.92%","25.6%","31.29%",-5.69,0.55,0.4986,7946,0.0514000000000001
"82","第13案","彰化縣","埤頭鄉","5,962","7,295","13,257","903","14,160","25,677","55.15%","23.22%","28.41%",-5.19,0.5503,0.5067,8548,0.0436
"83","第13案","彰化縣","芳苑鄉","6,731","6,926","13,657","1,081","14,738","29,291","50.32%","22.98%","23.65%",-0.67,0.5071,0.4778,9404,0.0293
"84","第13案","彰化縣","大城鄉","2,427","2,958","5,385","407","5,792","14,713","39.37%","16.5%","20.10%",-3.6,0.5493,0.5078,4708,0.0415
"85","第13案","彰化縣","竹塘鄉","3,075","3,532","6,607","465","7,072","12,821","55.16%","23.98%","27.55%",-3.57,0.5346,0.4623,4333,0.0723
"86","第13案","彰化縣","溪州鄉","6,310","6,266","12,576","828","13,404","25,405","52.76%","24.84%","24.66%",0.18,0.4983,0.4828,8290,0.0155
"87","第13案","南投縣","","98,462","138,563","237,025","12,379","249,404","427,089","58.4%","23.05%","32.44%",-9.39,0.5846,NA,NA,NA
"88","第13案","南投縣","南投市","20,281","28,852","49,133","2,236","51,369","84,328","60.92%","24.05%","34.21%",-10.16,0.5872,0.6802,39008,-0.0929999999999999
"89","第13案","南投縣","埔里鎮","14,608","23,503","38,111","1,896","40,007","68,763","58.18%","21.24%","34.18%",-12.94,0.6167,0.7004,31617,-0.0837
"90","第13案","南投縣","草屯鎮","19,594","26,875","46,469","1,925","48,394","82,922","58.36%","23.63%","32.41%",-8.78,0.5783,0.5379,29774,0.0404
"91","第13案","南投縣","竹山鎮","10,910","14,061","24,971","1,442","26,413","47,034","56.16%","23.2%","29.90%",-6.7,0.5631,0.68,21162,-0.1169
"92","第13案","南投縣","集集鎮","2,235","3,129","5,364","275","5,639","9,611","58.67%","23.25%","32.56%",-9.31,0.5833,0.6863,4774,-0.103
"93","第13案","南投縣","名間鄉","8,870","10,276","19,146","1,131","20,277","33,408","60.7%","26.55%","30.76%",-4.21,0.5367,0.6475,15432,-0.1108
"94","第13案","南投縣","鹿谷鄉","3,428","4,802","8,230","490","8,720","15,941","54.7%","21.5%","30.12%",-8.62,0.5835,0.7248,8156,-0.1413
"95","第13案","南投縣","中寮鄉","3,227","3,982","7,209","469","7,678","13,181","58.25%","24.48%","30.21%",-5.73,0.5524,0.7031,6940,-0.1507
"96","第13案","南投縣","魚池鄉","3,070","4,159","7,229","455","7,684","13,958","55.05%","21.99%","29.80%",-7.81,0.5753,0.6899,6810,-0.1146
"97","第13案","南投縣","國姓鄉","3,596","5,452","9,048","528","9,576","16,597","57.7%","21.67%","32.85%",-11.18,0.6026,0.6821,8152,-0.0794999999999999
"98","第13案","南投縣","水里鄉","3,390","4,848","8,238","458","8,696","15,458","56.26%","21.93%","31.36%",-9.43,0.5885,0.6989,7621,-0.1104
"99","第13案","南投縣","信義鄉","2,855","4,238","7,093","704","7,797","13,299","58.63%","21.47%","31.87%",-10.4,0.5975,0.8096,7902,-0.2121
"100","第13案","南投縣","仁愛鄉","2,398","4,386","6,784","370","7,154","12,589","56.83%","19.05%","34.84%",-15.79,0.6465,0.8482,8037,-0.2017
"101","第13案","雲林縣","","139,350","150,404","289,754","17,607","307,361","584,480","52.59%","23.84%","25.73%",-1.89,0.5191,NA,NA,NA
"102","第13案","雲林縣","斗六市","21,383","28,507","49,890","2,164","52,054","89,761","57.99%","23.82%","31.76%",-7.94,0.5714,0.5508,32050,0.0206000000000001
"103","第13案","雲林縣","斗南鎮","9,624","11,149","20,773","1,198","21,971","38,138","57.61%","25.23%","29.23%",-4,0.5367,0.5206,13445,0.0160999999999999
"104","第13案","雲林縣","虎尾鎮","13,438","16,721","30,159","1,428","31,587","58,167","54.3%","23.1%","28.75%",-5.65,0.5544,0.5593,21349,-0.00490000000000002
"105","第13案","雲林縣","西螺鎮","9,923","9,723","19,646","1,117","20,763","38,142","54.44%","26.02%","25.49%",0.53,0.4949,0.4689,12109,0.026
"106","第13案","雲林縣","土庫鎮","5,972","6,117","12,089","855","12,944","24,412","53.02%","24.46%","25.06%",-0.6,0.506,0.584,10136,-0.078
"107","第13案","雲林縣","北港鎮","8,945","8,645","17,590","1,134","18,724","33,958","55.14%","26.34%","25.46%",0.88,0.4915,0.4922,11426,-0.000699999999999978
"108","第13案","雲林縣","古坑鄉","6,473","7,378","13,851","916","14,767","27,477","53.74%","23.56%","26.85%",-3.29,0.5327,0.5435,10087,-0.0108
"109","第13案","雲林縣","大埤鄉","4,160","4,038","8,198","508","8,706","16,509","52.73%","25.2%","24.46%",0.74,0.4926,0.5396,6339,-0.047
"110","第13案","雲林縣","莿桐鄉","6,611","6,226","12,837","908","13,745","24,570","55.94%","26.91%","25.34%",1.57,0.485,0.4694,8218,0.0156
"111","第13案","雲林縣","林內鄉","3,758","4,413","8,171","670","8,841","15,551","56.85%","24.17%","28.38%",-4.21,0.5401,0.4963,5234,0.0438
"112","第13案","雲林縣","二崙鄉","6,007","4,882","10,889","647","11,536","23,367","49.37%","25.71%","20.89%",4.82,0.4483,0.4722,7461,-0.0239
"113","第13案","雲林縣","崙背鄉","4,948","4,833","9,781","665","10,446","21,050","49.62%","23.51%","22.96%",0.55,0.4941,0.5485,7961,-0.0544
"114","第13案","雲林縣","麥寮鄉","7,504","9,568","17,072","1,258","18,330","37,119","49.38%","20.22%","25.78%",-5.56,0.5604,0.6802,15550,-0.1198
"115","第13案","雲林縣","東勢鄉","3,163","3,039","6,202","459","6,661","13,239","50.31%","23.89%","22.95%",0.94,0.49,0.5756,5687,-0.0856
"116","第13案","雲林縣","褒忠鄉","2,827","2,858","5,685","310","5,995","11,381","52.68%","24.84%","25.11%",-0.27,0.5027,0.5455,4746,-0.0427999999999999
"117","第13案","雲林縣","臺西鄉","4,206","4,886","9,092","681","9,773","21,125","46.26%","19.91%","23.13%",-3.22,0.5374,0.6359,8833,-0.0985
"118","第13案","雲林縣","元長鄉","4,961","4,519","9,480","676","10,156","22,830","44.49%","21.73%","19.79%",1.94,0.4767,0.5311,8118,-0.0544
"119","第13案","雲林縣","四湖鄉","4,104","3,832","7,936","574","8,510","20,983","40.56%","19.56%","18.26%",1.3,0.4829,0.5131,6384,-0.0302
"120","第13案","雲林縣","口湖鄉","5,904","4,971","10,875","824","11,699","24,193","48.36%","24.4%","20.55%",3.85,0.4571,0.5385,8739,-0.0814
"121","第13案","雲林縣","水林鄉","5,439","4,099","9,538","615","10,153","22,508","45.11%","24.16%","18.21%",5.95,0.4298,0.4607,6898,-0.0309
"122","第13案","嘉義縣","","110,830","103,993","214,823","13,483","228,306","442,775","51.56%","25.03%","23.49%",1.54,0.4841,NA,NA,NA
"123","第13案","嘉義縣","太保市","8,074","8,157","16,231","833","17,064","31,568","54.05%","25.58%","25.84%",-0.26,0.5026,0.3004,6092,0.2022
"124","第13案","嘉義縣","朴子市","8,989","8,484","17,473","1,049","18,522","35,191","52.63%","25.54%","24.11%",1.43,0.4855,0.279,6178,0.2065
"125","第13案","嘉義縣","布袋鎮","5,637","5,557","11,194","756","11,950","23,965","49.86%","23.52%","23.19%",0.33,0.4964,0.3339,5053,0.1625
"126","第13案","嘉義縣","大林鎮","6,763","6,675","13,438","784","14,222","26,922","52.83%","25.12%","24.79%",0.33,0.4967,0.3085,5426,0.1882
"127","第13案","嘉義縣","民雄鄉","16,033","15,073","31,106","1,892","32,998","61,209","53.91%","26.19%","24.63%",1.56,0.4846,0.3191,12139,0.1655
"128","第13案","嘉義縣","溪口鄉","3,716","2,754","6,470","430","6,900","13,105","52.65%","28.36%","21.01%",7.35,0.4257,0.2316,2099,0.1941
"129","第13案","嘉義縣","新港鄉","8,171","6,024","14,195","892","15,087","27,342","55.18%","29.88%","22.03%",7.85,0.4244,0.2297,4298,0.1947
"130","第13案","嘉義縣","六腳鄉","4,734","3,723","8,457","612","9,069","20,821","43.56%","22.74%","17.88%",4.86,0.4402,0.2362,2989,0.204
"131","第13案","嘉義縣","東石鄉","4,475","3,938","8,413","693","9,106","21,915","41.55%","20.42%","17.97%",2.45,0.4681,0.2413,3193,0.2268
