"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","不同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投不同意率對縣市首長得票率差距"
"263","第13案","高雄市","田寮區","1,838","1,344","3,182","214","3,396","6,671","50.91%","27.55%","20.15%",7.4,0.4224,0.4358,2252,-0.0134
"264","第13案","高雄市","阿蓮區","6,635","6,419","13,054","658","13,712","24,534","55.89%","27.04%","26.16%",0.88,0.4917,0.4712,8322,0.0205000000000001
"265","第13案","高雄市","路竹區","12,332","12,501","24,833","1,465","26,298","43,850","59.97%","28.12%","28.51%",-0.39,0.5034,0.5243,16545,-0.0209
"266","第13案","高雄市","湖內區","7,333","6,741","14,074","667","14,741","25,729","57.29%","28.5%","26.20%",2.3,0.479,0.4967,9133,-0.0177
"267","第13案","高雄市","茄萣區","7,266","6,458","13,724","775","14,499","26,212","55.31%","27.72%","24.64%",3.08,0.4706,0.4772,8662,-0.00659999999999999
"268","第13案","高雄市","永安區","3,574","3,744","7,318","366","7,684","12,001","64.03%","29.78%","31.20%",-1.42,0.5116,0.4962,4545,0.0154000000000001
"269","第13案","高雄市","彌陀區","4,807","4,929","9,736","627","10,363","16,487","62.86%","29.16%","29.90%",-0.74,0.5063,0.5277,6756,-0.0214000000000001
"270","第13案","高雄市","梓官區","9,243","8,514","17,757","874","18,631","31,025","60.05%","29.79%","27.44%",2.35,0.4795,0.4681,10509,0.0114
"271","第13案","高雄市","旗山區","9,062","8,518","17,580","922","18,502","31,996","57.83%","28.32%","26.62%",1.7,0.4845,0.5234,12379,-0.0389000000000001
"272","第13案","高雄市","美濃區","7,983","10,596","18,579","1,171","19,750","35,311","55.93%","22.61%","30.01%",-7.4,0.5703,0.6109,15478,-0.0406
"273","第13案","高雄市","六龜區","2,314","2,752","5,066","465","5,531","11,501","48.09%","20.12%","23.93%",-3.81,0.5432,0.5429,4084,0.000300000000000078
"274","第13案","高雄市","甲仙區","1,133","1,390","2,523","202","2,725","5,417","50.3%","20.92%","25.66%",-4.74,0.5509,0.6017,2339,-0.0508000000000001
"275","第13案","高雄市","杉林區","2,294","2,488","4,782","296","5,078","10,607","47.87%","21.63%","23.46%",-1.83,0.5203,0.5645,4129,-0.0442
"276","第13案","高雄市","內門區","3,104","2,956","6,060","457","6,517","13,002","50.12%","23.87%","22.73%",1.14,0.4878,0.5381,5446,-0.0503
"277","第13案","高雄市","茂林區","337","738","1,075","47","1,122","1,615","69.47%","20.87%","45.70%",-24.83,0.6865,0.9183,1281,-0.2318
"278","第13案","高雄市","桃源區","548","1,289","1,837","89","1,926","3,498","55.06%","15.67%","36.85%",-21.18,0.7017,0.8851,2519,-0.1834
"279","第13案","高雄市","那瑪夏區","495","932","1,427","108","1,535","2,424","63.33%","20.42%","38.45%",-18.03,0.6531,0.8508,1751,-0.1977
"280","第13案","新北市","","807,514","985,763","1,793,277","87,193","1,880,470","3,375,513","55.71%","23.92%","29.20%",-5.28,0.5497,NA,NA,NA
"281","第13案","新北市","板橋區","119,330","132,183","251,513","12,943","264,456","463,411","57.07%","25.75%","28.52%",-2.77,0.5256,0.5397,154687,-0.0141
"282","第13案","新北市","三重區","89,027","87,000","176,027","9,721","185,748","329,846","56.31%","26.99%","26.38%",0.61,0.4942,0.4978,99925,-0.00360000000000005
"283","第13案","新北市","中和區","78,167","112,782","190,949","8,680","199,629","355,978","56.08%","21.96%","31.68%",-9.72,0.5906,0.6331,139022,-0.0425
"284","第13案","新北市","永和區","40,769","66,263","107,032","4,634","111,666","187,798","59.46%","21.71%","35.28%",-13.57,0.6191,0.6746,79362,-0.0555
"285","第13案","新北市","新莊區","90,070","98,684","188,754","9,447","198,201","344,981","57.45%","26.11%","28.61%",-2.5,0.5228,0.5172,108240,0.00560000000000005
"286","第13案","新北市","新店區","53,250","91,275","144,525","5,978","150,503","264,053","57%","20.17%","34.57%",-14.4,0.6316,0.6873,109759,-0.0557
"287","第13案","新北市","樹林區","38,133","42,649","80,782","4,017","84,799","152,102","55.75%","25.07%","28.04%",-2.97,0.528,0.5413,49090,-0.0133
"288","第13案","新北市","鶯歌區","17,470","19,181","36,651","1,688","38,339","71,645","53.51%","24.38%","26.77%",-2.39,0.5233,0.5349,23419,-0.0116000000000001
"289","第13案","新北市","三峽區","21,638","26,238","47,876","2,325","50,201","94,291","53.24%","22.95%","27.83%",-4.88,0.548,0.5736,31822,-0.0256
"290","第13案","新北市","淡水區","31,732","43,633","75,365","3,072","78,437","147,272","53.26%","21.55%","29.63%",-8.08,0.579,0.6033,51336,-0.0243
"291","第13案","新北市","汐止區","37,770","50,984","88,754","3,901","92,655","173,831","53.3%","21.73%","29.33%",-7.6,0.5744,0.6128,61139,-0.0384
"292","第13案","新北市","瑞芳區","7,444","8,779","16,223","1,049","17,272","35,036","49.3%","21.25%","25.06%",-3.81,0.5411,0.6249,13393,-0.0838
"293","第13案","新北市","土城區","48,850","56,610","105,460","5,222","110,682","200,783","55.13%","24.33%","28.19%",-3.86,0.5368,0.5615,66487,-0.0246999999999999
"294","第13案","新北市","蘆洲區","42,796","42,780","85,576","4,485","90,061","167,457","53.78%","25.56%","25.55%",0.01,0.4999,0.4944,47271,0.00550000000000006
"295","第13案","新北市","五股區","18,149","18,856","37,005","1,981","38,986","72,443","53.82%","25.05%","26.03%",-0.98,0.5096,0.5223,22276,-0.0126999999999999
"296","第13案","新北市","泰山區","15,601","18,739","34,340","1,473","35,813","64,252","55.74%","24.28%","29.16%",-4.88,0.5457,0.5423,20885,0.00339999999999996
"297","第13案","新北市","林口區","19,747","26,923","46,670","1,802","48,472","86,203","56.23%","22.91%","31.23%",-8.32,0.5769,0.5908,30150,-0.0139
"298","第13案","新北市","深坑區","4,965","6,014","10,979","517","11,496","20,624","55.74%","24.07%","29.16%",-5.09,0.5478,0.5997,7720,-0.0519000000000001
"299","第13案","新北市","石碇區","1,705","1,647","3,352","203","3,555","6,861","51.81%","24.85%","24.01%",0.84,0.4913,0.4773,2272,0.0140000000000001
"300","第13案","新北市","坪林區","1,546","1,354","2,900","180","3,080","5,891","52.28%","26.24%","22.98%",3.26,0.4669,0.4454,1811,0.0215
"301","第13案","新北市","三芝區","4,301","5,036","9,337","532","9,869","20,119","49.05%","21.38%","25.03%",-3.65,0.5394,0.594,7191,-0.0546
"302","第13案","新北市","石門區","2,352","2,829","5,181","321","5,502","10,528","52.26%","22.34%","26.87%",-4.53,0.546,0.587,4162,-0.041
"303","第13案","新北市","八里區","7,582","9,078","16,660","897","17,557","32,970","53.25%","23%","27.53%",-4.53,0.5449,0.54,10545,0.00490000000000002
"304","第13案","新北市","平溪區","1,025","955","1,980","138","2,118","4,321","49.02%","23.72%","22.10%",1.62,0.4823,0.5328,1616,-0.0505
"305","第13案","新北市","雙溪區","1,751","1,942","3,693","255","3,948","7,999","49.36%","21.89%","24.28%",-2.39,0.5259,0.5582,3062,-0.0323
"306","第13案","新北市","貢寮區","2,671","2,216","4,887","308","5,195","11,279","46.06%","23.68%","19.65%",4.03,0.4534,0.4579,3123,-0.00449999999999995
"307","第13案","新北市","金山區","4,298","4,686","8,984","694","9,678","18,978","51%","22.65%","24.69%",-2.04,0.5216,0.5389,6246,-0.0173000000000001
"308","第13案","新北市","萬里區","4,214","4,872","9,086","610","9,696","19,297","50.25%","21.84%","25.25%",-3.41,0.5362,0.5705,6547,-0.0343
"309","第13案","新北市","烏來區","1,161","1,575","2,736","120","2,856","5,264","54.26%","22.06%","29.92%",-7.86,0.5757,0.6477,2572,-0.072
"310","第13案","臺中市","","554,566","726,864","1,281,430","60,389","1,341,819","2,295,642","58.45%","24.16%","31.66%",-7.5,0.5672,NA,NA,NA
"311","第13案","臺中市","中區","3,924","4,112","8,036","365","8,401","14,696","57.17%","26.7%","27.98%",-1.28,0.5117,0.5329,4859,-0.0212
"312","第13案","臺中市","東區","16,941","19,589","36,530","1,760","38,290","64,291","59.56%","26.35%","30.47%",-4.12,0.5362,0.5303,22055,0.00590000000000002
"313","第13案","臺中市","南區","27,658","33,699","61,357","2,729","64,086","103,643","61.83%","26.69%","32.51%",-5.82,0.5492,0.5624,37250,-0.0132
"314","第13案","臺中市","西區","24,080","30,113","54,193","2,028","56,221","95,040","59.16%","25.34%","31.68%",-6.34,0.5557,0.5611,33534,-0.00540000000000007
"315","第13案","臺中市","北區","29,447","39,060","68,507","2,757","71,264","124,621","57.18%","23.63%","31.34%",-7.71,0.5702,0.5967,45769,-0.0265
"316","第13案","臺中市","西屯區","42,283","60,892","103,175","4,271","107,446","183,814","58.45%","23%","33.13%",-10.13,0.5902,0.603,67437,-0.0128
"317","第13案","臺中市","南屯區","33,372","45,708","79,080","3,333","82,413","135,448","60.84%","24.64%","33.75%",-9.11,0.578,0.5819,49134,-0.00390000000000001
"318","第13案","臺中市","北屯區","52,336","74,638","126,974","4,910","131,884","227,720","57.91%","22.98%","32.78%",-9.8,0.5878,0.6067,84485,-0.0189
"319","第13案","臺中市","豐原區","35,654","43,291","78,945","3,839","82,784","136,658","60.58%","26.09%","31.68%",-5.59,0.5484,0.5164,46436,0.032
"320","第13案","臺中市","東勢區","9,348","14,659","24,007","1,511","25,518","43,181","59.1%","21.65%","33.95%",-12.3,0.6106,0.6223,18216,-0.0116999999999999
"321","第13案","臺中市","大甲區","15,257","19,469","34,726","1,898","36,624","63,069","58.07%","24.19%","30.87%",-6.68,0.5606,0.5471,22958,0.0135
"322","第13案","臺中市","清水區","17,895","22,161","40,056","2,216","42,272","71,528","59.1%","25.02%","30.98%",-5.96,0.5533,0.5213,25523,0.032
"323","第13案","臺中市","沙鹿區","17,498","23,018","40,516","2,000","42,516","74,207","57.29%","23.58%","31.02%",-7.44,0.5681,0.5563,26784,0.0118
"324","第13案","臺中市","梧棲區","11,670","14,094","25,764","1,306","27,070","47,040","57.55%","24.81%","29.96%",-5.15,0.547,0.5114,15729,0.0356000000000001
"325","第13案","臺中市","后里區","10,863","14,165","25,028","1,385","26,413","44,962","58.75%","24.16%","31.50%",-7.34,0.566,0.5718,17677,-0.00580000000000003
"326","第13案","臺中市","神岡區","14,344","16,724","31,068","1,666","32,734","54,565","59.99%","26.29%","30.65%",-4.36,0.5383,0.4919,17928,0.0464
"327","第13案","臺中市","潭子區","21,605","28,122","49,727","2,169","51,896","89,487","57.99%","24.14%","31.43%",-7.29,0.5655,0.5568,31938,0.00870000000000004
"328","第13案","臺中市","大雅區","17,763","24,830","42,593","2,100","44,693","77,189","57.9%","23.01%","32.17%",-9.16,0.583,0.5704,27797,0.0125999999999999
"329","第13案","臺中市","新社區","4,811","6,058","10,869","612","11,481","20,860","55.04%","23.06%","29.04%",-5.98,0.5574,0.5851,8767,-0.0276999999999999
"330","第13案","臺中市","石岡區","3,080","4,148","7,228","455","7,683","12,880","59.65%","23.91%","32.20%",-8.29,0.5739,0.5943,5393,-0.0204000000000001
"331","第13案","臺中市","外埔區","6,256","8,799","15,055","857","15,912","27,059","58.8%","23.12%","32.52%",-9.4,0.5845,0.6007,11040,-0.0162
"332","第13案","臺中市","大安區","4,122","5,051","9,173","610","9,783","16,520","59.22%","24.95%","30.58%",-5.63,0.5506,0.5662,6732,-0.0155999999999999
"333","第13案","臺中市","烏日區","15,313","19,254","34,567","1,901","36,468","61,705","59.1%","24.82%","31.20%",-6.38,0.557,0.5691,22951,-0.0120999999999999
"334","第13案","臺中市","大肚區","11,483","14,998","26,481","1,402","27,883","47,457","58.75%","24.2%","31.60%",-7.4,0.5664,0.561,17821,0.00539999999999996
"335","第13案","臺中市","龍井區","14,854","19,576","34,430","1,694","36,124","63,584","56.81%","23.36%","30.79%",-7.43,0.5686,0.55,22757,0.0185999999999999
"336","第13案","臺中市","霧峰區","13,869","17,722","31,591","2,013","33,604","55,225","60.85%","25.11%","32.09%",-6.98,0.561,0.5583,20936,0.00270000000000004
"337","第13案","臺中市","太平區","35,443","47,614","83,057","4,008","87,065","157,926","55.13%","22.44%","30.15%",-7.71,0.5733,0.5662,53613,0.00710000000000011
"338","第13案","臺中市","大里區","41,337","51,702","93,039","4,281","97,320","171,769","56.66%","24.07%","30.10%",-6.03,0.5557,0.5463,57527,0.00939999999999996
"339","第13案","臺中市","和平區","2,060","3,598","5,658","313","5,971","9,498","62.87%","21.69%","37.88%",-16.19,0.6359,0.7015,4950,-0.0656
"340","第13案","臺南市","","420,409","376,916","797,325","37,455","834,780","1,594,821","52.34%","26.36%","23.63%",2.73,0.4727,NA,NA,NA
"341","第13案","臺南市","新營區","15,671","16,160","31,831","1,133","32,964","64,949","50.75%","24.13%","24.88%",-0.75,0.5077,0.3698,14120,0.1379
"342","第13案","臺南市","鹽水區","6,084","4,506","10,590","557","11,147","22,121","50.39%","27.5%","20.37%",7.13,0.4255,0.2789,3981,0.1466
"343","第13案","臺南市","白河區","6,281","4,451","10,732","636","11,368","24,894","45.67%","25.23%","17.88%",7.35,0.4147,0.3071,4715,0.1076
"344","第13案","臺南市","柳營區","4,986","3,974","8,960","619","9,579","18,804","50.94%","26.52%","21.13%",5.39,0.4435,0.2972,3630,0.1463
"345","第13案","臺南市","後壁區","5,630","3,985","9,615","666","10,281","20,841","49.33%","27.01%","19.12%",7.89,0.4145,0.2853,3940,0.1292
"346","第13案","臺南市","東山區","3,823","3,010","6,833","453","7,286","18,471","39.45%","20.7%","16.30%",4.4,0.4405,0.3397,3742,0.1008
"347","第13案","臺南市","麻豆區","11,585","7,284","18,869","784","19,653","37,963","51.77%","30.52%","19.19%",11.33,0.386,0.2334,5630,0.1526
"348","第13案","臺南市","下營區","5,732","3,964","9,696","576","10,272","20,947","49.04%","27.36%","18.92%",8.44,0.4088,0.2921,3767,0.1167
"349","第13案","臺南市","六甲區","5,182","3,886","9,068","528","9,596","19,144","50.13%","27.07%","20.30%",6.77,0.4285,0.2655,3260,0.163
"350","第13案","臺南市","官田區","5,375","3,614","8,989","484","9,473","18,675","50.73%","28.78%","19.35%",9.43,0.402,0.2556,3107,0.1464
"351","第13案","臺南市","大內區","2,317","1,737","4,054","259","4,313","8,654","49.84%","26.77%","20.07%",6.7,0.4285,0.2907,1687,0.1378
"352","第13案","臺南市","佳里區","14,077","11,615","25,692","1,147","26,839","50,407","53.24%","27.93%","23.04%",4.89,0.4521,0.291,9178,0.1611
"353","第13案","臺南市","學甲區","6,136","4,365","10,501","555","11,056","22,567","48.99%","27.19%","19.34%",7.85,0.4157,0.2792,3860,0.1365
"354","第13案","臺南市","西港區","5,737","4,361","10,098","523","10,621","21,564","49.25%","26.6%","20.22%",6.38,0.4319,0.2605,3593,0.1714
"355","第13案","臺南市","七股區","5,398","3,748","9,146","501","9,647","19,950","48.36%","27.06%","18.79%",8.27,0.4098,0.2488,3251,0.161
"356","第13案","臺南市","將軍區","4,851","3,218","8,069","398","8,467","17,754","47.69%","27.32%","18.13%",9.19,0.3988,0.2612,3109,0.1376
"357","第13案","臺南市","北門區","2,304","1,803","4,107","188","4,295","9,925","43.27%","23.21%","18.17%",5.04,0.439,0.2902,1877,0.1488
"358","第13案","臺南市","新化區","9,846","9,131","18,977","1,190","20,167","37,296","54.07%","26.4%","24.48%",1.92,0.4812,0.3189,7591,0.1623
"359","第13案","臺南市","善化區","10,715","8,929","19,644","1,170","20,814","39,950","52.1%","26.82%","22.35%",4.47,0.4545,0.2902,6948,0.1643
"360","第13案","臺南市","新市區","8,670","7,063","15,733","757","16,490","30,386","54.27%","28.53%","23.24%",5.29,0.4489,0.2681,5034,0.1808
"361","第13案","臺南市","安定區","7,400","5,895","13,295","908","14,203","26,104","54.41%","28.35%","22.58%",5.77,0.4434,0.2867,4752,0.1567
"362","第13案","臺南市","山上區","1,588","1,170","2,758","192","2,950","6,511","45.31%","24.39%","17.97%",6.42,0.4242,0.3057,1244,0.1185
"363","第13案","臺南市","玉井區","2,695","3,045","5,740","380","6,120","12,357","49.53%","21.81%","24.64%",-2.83,0.5305,0.4217,3442,0.1088
"364","第13案","臺南市","楠西區","1,650","2,029","3,679","239","3,918","8,528","45.94%","19.35%","23.79%",-4.44,0.5515,0.4856,2687,0.0659
"365","第13案","臺南市","南化區","1,690","1,811","3,501","233","3,734","7,786","47.96%","21.71%","23.26%",-1.55,0.5173,0.4126,2229,0.1047
"366","第13案","臺南市","左鎮區","1,051","820","1,871","163","2,034","4,418","46.04%","23.79%","18.56%",5.23,0.4383,0.3183,939,0.12
"367","第13案","臺南市","仁德區","16,551","16,740","33,291","1,640","34,931","64,632","54.05%","25.61%","25.90%",-0.29,0.5028,0.3188,12883,0.184
"368","第13案","臺南市","歸仁區","15,705","13,920","29,625","1,309","30,934","57,387","53.9%","27.37%","24.26%",3.11,0.4699,0.2595,9264,0.2104
"369","第13案","臺南市","關廟區","8,288","7,200","15,488","781","16,269","29,913","54.39%","27.71%","24.07%",3.64,0.4649,0.2576,5323,0.2073
"370","第13案","臺南市","龍崎區","899","854","1,753","118","1,871","3,713","50.39%","24.21%","23.00%",1.21,0.4872,0.2428,676,0.2444
"371","第13案","臺南市","永康區","48,369","50,117","98,486","3,912","102,398","195,001","52.51%","24.8%","25.70%",-0.9,0.5089,0.3481,38892,0.1608
"372","第13案","臺南市","東區","39,193","42,054","81,247","3,036","84,283","153,359","54.96%","25.56%","27.42%",-1.86,0.5176,0.4061,36041,0.1115
"373","第13案","臺南市","南區","29,421","25,046","54,467","2,497","56,964","108,650","52.43%","27.08%","23.05%",4.03,0.4598,0.3302,21036,0.1296
"374","第13案","臺南市","北區","29,375","28,648","58,023","2,485","60,508","110,906","54.56%","26.49%","25.83%",0.66,0.4937,0.3752,24690,0.1185
"375","第13案","臺南市","安南區","43,287","37,148","80,435","3,855","84,290","159,654","52.8%","27.11%","23.27%",3.84,0.4618,0.2913,27865,0.1705
"376","第13案","臺南市","安平區","13,735","13,614","27,349","1,023","28,372","55,379","51.23%","24.8%","24.58%",0.22,0.4978,0.3684,11056,0.1294
"377","第13案","臺南市","中西區","19,112","16,001","35,113","1,560","36,673","65,261","56.19%","29.29%","24.52%",4.77,0.4557,0.3498,13835,0.1059
"378","第13案","桃園市","","372,182","524,453","896,635","39,083","935,718","1,801,823","51.93%","20.66%","29.11%",-8.45,0.5849,NA,NA,NA
"379","第13案","桃園市","桃園區","76,752","100,610","177,362","6,677","184,039","359,790","51.15%","21.33%","27.96%",-6.63,0.5673,0.3798,73799,0.1875
"380","第13案","桃園市","中壢區","65,661","104,366","170,027","7,201","177,228","334,402","53%","19.64%","31.21%",-11.57,0.6138,0.4569,88154,0.1569
"381","第13案","桃園市","大溪區","17,905","21,660","39,565","2,146","41,711","78,285","53.28%","22.87%","27.67%",-4.8,0.5475,0.341,16271,0.2065
"382","第13案","桃園市","楊梅區","25,154","42,561","67,715","2,889","70,604","137,917","51.19%","18.24%","30.86%",-12.62,0.6285,0.4185,32538,0.21
"383","第13案","桃園市","蘆竹區","28,046","35,267","63,313","2,857","66,170","129,252","51.19%","21.7%","27.29%",-5.59,0.557,0.335,24164,0.222
"384","第13案","桃園市","大園區","16,658","19,025","35,683","1,665","37,348","73,900","50.54%","22.54%","25.74%",-3.2,0.5332,0.308,13865,0.2252
"385","第13案","桃園市","龜山區","28,405","34,199","62,604","2,644","65,248","131,702","49.54%","21.57%","25.97%",-4.4,0.5463,0.3696,26791,0.1767
"386","第13案","桃園市","八德區","33,762","46,266","80,028","3,903","83,931","165,065","50.85%","20.45%","28.03%",-7.58,0.5781,0.3861,36314,0.192
"387","第13案","桃園市","龍潭區","19,021","33,219","52,240","2,425","54,665","101,574","53.82%","18.73%","32.70%",-13.97,0.6359,0.4577,27385,0.1782
"388","第13案","桃園市","平鎮區","36,737","57,455","94,192","3,912","98,104","183,560","53.45%","20.01%","31.30%",-11.29,0.61,0.4262,45697,0.1838
"389","第13案","桃園市","新屋區","9,811","12,325","22,136","1,140","23,276","41,461","56.14%","23.66%","29.73%",-6.07,0.5568,0.3194,9164,0.2374
"390","第13案","桃園市","觀音區","12,464","14,403","26,867","1,326","28,193","55,149","51.12%","22.6%","26.12%",-3.52,0.5361,0.298,10126,0.2381
"391","第13案","桃園市","復興區","1,806","3,097","4,903","298","5,201","9,766","53.26%","18.49%","31.71%",-13.22,0.6317,0.4235,2966,0.2082
